name_muni,abbrev_state,lon,lat
Gurupi,TO,-48.8866022303345,-11.6520133576082
Ipueiras,TO,-48.4041716373585,-11.1361067441765
Itacajá,TO,-47.6690220826488,-8.57124744989496
Itaguatins,TO,-47.5966147664631,-5.80372199529704
Itapiratins,TO,-48.0329976736299,-8.31643491192232
Itaporã Do Tocantins,TO,-48.7521376851191,-8.45149804615259
Jaú Do Tocantins,TO,-48.6458900997956,-12.748216455768
Juarina,TO,-49.110571062802,-8.14036607118285
Lagoa Da Confusão,TO,-50.1604852837074,-11.0360548964523
Lagoa Do Tocantins,TO,-47.4816284919279,-10.34194344366
Lajeado,TO,-48.2900206164992,-9.84864212532504
Lavandeira,TO,-46.3949800964329,-12.8202160903434
Lizarda,TO,-46.9388912865348,-9.52534085057991
Luzinópolis,TO,-47.8303051695639,-6.20633664370857
Marianópolis Do Tocantins,TO,-49.6999099455358,-9.78762522295949
Mateiros,TO,-46.5011752915341,-10.5761365624082
Maurilândia Do Tocantins,TO,-47.5898491027436,-6.02427866121083
Miracema Do Tocantins,TO,-48.5513388200591,-9.75392648984214
Miranorte,TO,-48.6830336542716,-9.41701787297262
Monte Do Carmo,TO,-48.0172274649815,-10.7483820901415
Monte Santo Do Tocantins,TO,-49.0670032435397,-10.0006536910759
Palmeiras Do Tocantins,TO,-47.6425201396725,-6.59971851203568
Muricilândia,TO,-48.7869668409196,-7.00391947037864
Natividade,TO,-47.6489163253831,-11.798464280049
Nazaré,TO,-47.7811250606053,-6.33041449016317
Nova Olinda,TO,-48.3601019021682,-7.6380031738992
Nova Rosalândia,TO,-48.9745808727691,-10.5495771571899
Novo Acordo,TO,-47.3831678110288,-10.1555867977442
Novo Alegre,TO,-46.5598542216007,-12.914230146029
Novo Jardim,TO,-46.5503418249277,-11.7712144202224
Oliveira De Fátima,TO,-48.8771430350832,-10.6741461985858
Palmeirante,TO,-48.1558752953022,-7.88642116419087
Palmeirópolis,TO,-48.3488702558581,-13.0195664083125
Paraíso Do Tocantins,TO,-48.8261763507884,-10.2210938919128
Paranã,TO,-47.8121450177898,-12.6957284495916
Pau D'arco,TO,-48.9881680793664,-7.54557569408472
Pedro Afonso,TO,-48.034174409578,-9.22730032444619
Peixe,TO,-48.5552199043909,-11.9966720104202
Pequizeiro,TO,-48.9168393217328,-8.37932079810512
Colméia,TO,-48.7647834596017,-8.83670986351733
Pindorama Do Tocantins,TO,-47.5591627891331,-11.1600078582106
Piraquê,TO,-48.2402255914442,-6.73875813421615
Pium,TO,-49.8726772699054,-10.2102526852971
Ponte Alta Do Bom Jesus,TO,-46.5792698444209,-12.0524047515835
Ponte Alta Do Tocantins,TO,-47.3278903028631,-10.7518841184445
Porto Alegre Do Tocantins,TO,-47.0466989610267,-11.5116017741586
Porto Nacional,TO,-48.4966762000376,-10.5443217023982
Praia Norte,TO,-47.7834830698014,-5.47251840969189
Presidente Kennedy,TO,-48.4613230611337,-8.46234139891738
Pugmil,TO,-48.8833481816162,-10.4226435122045
Recursolândia,TO,-47.1130394956752,-8.69724857224456
Riachinho,TO,-48.1362584989287,-6.46032736673041
Rio Da Conceição,TO,-46.7482898600501,-11.3407749597445
Rio Dos Bois,TO,-48.451937016262,-9.23607646706351
Rio Sono,TO,-47.4962032133037,-9.64782252783162
